Chord,E,A,D,G,B,E2,Structure,Note1,Note2,Note3,Note4,Note5,Note6
Ab7(#9);3,x,2,1,3,4,x,1;3;5;b7;#9,x,G#,C,F,B,x
Ab7(b9);1,3,2,4,1,x,x,1;3;5;b7;b9,G#,C,F,A,x,x
Ab7(b9);2,1,x,1,2,1,3,1;3;5;b7;b9,G#,x,F,C,D,A
Ab7(b9);3,x,2,1,3,1,x,1;3;5;b7;b9,x,G#,C,F,A,x
Ab7b5;1,x,x,2,4,1,3,1;3;b5;b7,x,x,F,C,D,G#
Ab7b5;2,1,3,2,4,x,x,1;3;b5;b7,G#,D,F,C,x,x
Ab7b5;3,x,x,1,2,3,4,1;3;b5;b7,x,x,G#,D,F,C
Ab7sus4;1,x,x,1,1,2,3,1;4;5;b7,x,x,D,G#,C#,F
Ab7sus4;2,1,3,1,4,1,1,1;4;5;b7,G#,D,F,C#,D,G#
Ab7sus4;3,x,x,1,3,2,4,1;4;5;b7,x,x,G#,D,F,C#
Ab7sus4;4,4,x,1,3,2,x,1;4;5;b7,C#,x,G#,D,F,x
Ab9b5;1,2,1,3,1,1,4,1;3;b5;b7;9,G#,C,F,A#,D,G#
Ab9b5;2,x,x,1,2,3,1,1;3;b5;b7;9,x,x,G#,D,F,A#
Ab9b5;3,1,2,1,3,4,1,1;3;b5;b7;9,D,G#,C,F,A#,D
Abaug;1,x,3,2,1,1,x,1;3;#5,x,E,G#,C,E,x
Abaug;2,4,3,2,1,x,x,1;3;#5,C,E,G#,C,x,x
Abaug;3,x,x,4,2,3,1,1;3;#5,x,x,E,G#,C,E
Abdim;1,x,x,4,3,1,2,1;b3;b5,x,x,G#,B,D,G#
Abdim;2,x,1,2,4,3,x,1;b3;b5,x,G#,D,G#,B,x
Abdim7;1,2,4,1,3,x,x,1;b3;b5;bb7,G#,D,F,B,x,x
Abdim7;2,x,2,3,1,4,x,1;b3;b5;bb7,x,F,B,D,G#,x
Abdim7;3,x,x,1,3,2,4,1;b3;b5;bb7,x,x,B,F,G#,D
Abdim7;4,3,x,1,4,2,x,1;b3;b5;bb7,G#,x,F,B,D,x
Abdim7;5,x,x,1,3,2,4,1;b3;b5;bb7,x,x,G#,D,F,B
Abm;1,1,3,4,1,1,1,1;b3;5,G#,D,G#,B,D,G#
Abm;2,x,x,1,3,4,2,1;b3;5,x,x,G#,D,G#,B
Abm;3,x,1,3,4,2,1,1;b3;5,x,G#,D,G#,B,D
Abm;4,x,3,x,1,1,x,1;b3;5,x,D,x,B,D,x
Abm11;1,2,x,3,4,1,x,1;b3;5;b7;9;11,G#,x,F,B,C#,x
Abm6;1,x,x,1,2,0,3,1;b3;5;6,x,x,D,G#,B,F
Abm6;2,1,x,3,1,4,1,1;b3;5;6,G#,x,G#,B,F,G#
Abm6;3,x,3,1,2,1,x,1;b3;5;6,x,G#,B,F,G#,x
Abm7;1,1,3,1,1,4,1,1;b3;5;b7,G#,D,F,B,F,G#
Abm7;2,x,x,1,4,2,3,1;b3;5;b7,x,x,G#,D,F,B
Abm7;3,x,1,3,1,2,1,1;b3;5;b7,x,G#,D,F,B,D
Abm7;4,2,x,3,3,3,x,1;b3;5;b7,G#,x,F,B,D,x
Abm7;5,1,3,1,1,1,1,1;b3;5;b7,G#,D,F,B,D,G#
Abm7;6,1,3,1,1,1,x,1;b3;5;b7,G#,D,F,B,D,x
Abm7b5;1,2,x,3,4,1,x,1;b3;b5;b7,G#,x,F,B,D,x
Abm9;1,1,3,1,1,1,4,1;b3;5;b7;9,G#,D,F,B,D,A#
Abm9;2,x,x,2,1,4,3,1;b3;5;b7;9,x,x,G#,B,F,A#
Abm9;3,x,2,1,3,4,x,1;b3;5;b7;9,x,G#,B,F,A#,x
Abmaj;1,x,x,1,1,1,4,1;3;5,x,x,D,G#,C,G#
Abmaj;2,1,3,4,2,1,1,1;3;5,G#,D,G#,C,D,G#
Abmaj;3,x,4,3,1,2,1,1;3;5,x,G#,C,D,G#,C
Abmaj;4,4,x,1,1,1,x,1;3;5,G#,x,D,G#,C,x
Abmaj;5,x,3,1,1,1,x,1;3;5,x,C,D,G#,C,x
Abmaj;6,x,1,4,3,2,x,1;3;5,x,C,G#,C,D,x
Abmaj;7,x,1,4,4,4,x,1;3;5,x,G#,D,G#,C,x
Abmaj;8,1,x,3,1,2,x,1;3;5,C,x,C,D,G#,x
Abmaj;9,x,x,3,2,1,1,1;3;5,x,x,G#,C,D,G#
Abmaj;10,x,x,x,3,4,1,1;3;5,x,x,x,G#,C,D
Abmaj;11,x,x,1,1,1,x,1;3;5,x,x,D,G#,C,x
Abmaj;12,1,3,4,2,x,x,1;3;5,G#,D,G#,C,x,x
Abmaj;13,x,4,3,1,x,x,1;3;5,x,G#,C,D,x,x
Abmaj;14,x,3,4,2,1,x,1;3;5,x,D,G#,C,D,x
Abmaj;15,1,x,x,2,1,1,1;3;5,G#,x,x,C,D,G#
Abmaj;16,2,1,x,x,x,x,1;3;5,G#,C,x,x,x,x
Abmaj;17,x,3,4,2,1,1,1;3;5,x,D,G#,C,D,G#
Abmaj;18,3,x,1,4,x,x,1;3;5,C,x,G#,D,x,x
Abmaj;19,x,1,2,3,4,1,1;3;5,x,G#,D,G#,C,D
Abmaj13;1,2,1,1,1,3,1,1;3;5;7;9;11;13,G#,C,F,A#,D,G
Abmaj13;2,1,x,2,3,4,x,1;3;5;7;9;11;13,G#,x,G,C,F,x
Abmaj13;3,2,x,1,1,4,1,1;3;5;7;9;11;13,G#,x,F,A#,F,G
Abmaj13;4,x,1,1,1,2,1,1;3;5;7;9;11;13,x,C,F,A#,D,G
Abmaj7;1,x,x,4,3,2,1,1;3;5;7,x,x,G#,C,D,G
Abmaj7;2,1,4,2,3,1,x,1;3;5;7,G#,D,G,C,D,x
Abmaj7;3,x,4,3,1,1,1,1;3;5;7,x,G#,C,D,G,C
Abmaj7;4,2,1,4,0,x,x,1;3;5;7,G#,C,G,G,x,x
Abmaj7;5,1,x,3,4,2,x,1;3;5;7,G#,x,G,C,D,x
Abmaj7;6,x,1,x,x,2,4,1;3;5;7,x,G#,x,x,C,G
Abmaj7;7,x,x,x,1,1,1,1;3;5;7,x,x,x,D,G,C
Abmaj7;8,x,x,x,3,2,1,1;3;5;7,x,x,x,C,D,G
Abmaj7;9,x,x,x,2,4,1,1;3;5;7,x,x,x,G,C,D
Abmaj7;10,x,3,2,0,1,x,1;3;5;7,x,G#,C,G,G#,x
Abmaj7;11,1,x,2,3,x,x,1;3;5;7,G#,x,G,C,x,x
Abmaj7;12,x,2,x,0,1,4,1;3;5;7,x,G,x,G,G#,D
Abmaj7;13,2,x,3,4,2,1,1;3;5;7,G#,x,G,C,D,G
Abmaj7;14,x,x,1,3,3,3,1;3;5;7,x,x,G#,D,G,C
Abmaj9;1,2,1,4,1,3,x,1;3;5;7;9,G#,C,G,A#,D,x
Abmaj9;2,x,x,4,1,2,1,1;3;5;7;9,x,x,G#,A#,D,G
Abmaj9;3,x,2,1,4,3,x,1;3;5;7;9,x,G#,C,G,A#,x
Absus4;1,x,x,1,1,2,4,1;4;5,x,x,D,G#,C#,G#
Absus4;2,1,1,3,4,1,1,1;4;5,G#,C#,G#,C#,D,G#
Absus4;3,x,x,1,2,3,4,1;4;5,x,x,G#,D,G#,C#
Absus4;4,1,x,3,3,x,x,1;4;5,G#,x,G#,C#,x,x
B5;1,1,3,x,x,x,x,1;5,B,F#,x,x,x,x
B5;2,x,1,3,4,x,x,1;5,x,B,F#,B,x,x
B5;3,x,1,3,x,x,x,1;5,x,B,F#,x,x,x
B5;4,x,1,3,4,0,x,1;5,x,B,F#,B,B,x
B5;5,1,3,4,x,x,x,1;5,B,F#,B,x,x,x
B5;6,1,1,3,x,x,x,1;5,F#,B,F#,x,x,x
B5;7,x,x,1,3,4,x,1;5,x,x,B,F#,B,x
B5;8,x,x,x,1,4,x,1;5,x,x,x,B,F#,x
B6;1,x,3,1,2,0,x,1;3;5;6,x,B,D#,G#,B,x
B6;2,x,1,3,3,3,3,1;3;5;6,x,B,F#,B,D#,G#
B6;3,1,x,3,2,4,1,1;3;5;6,B,x,B,D#,G#,B
B6;4,x,1,4,x,x,x,1;3;5;6,x,B,G#,x,x,x
